ID,escaneado,fonte,Ano,Decada,Condenação,Multa,TC,Relevante,Limítrofe,Motivo,
RJ-2013-05657,Não,PCTC,2013,2010,,,Sim,Sim,Sim,1,"Não divulgação de fato relevante, sem que houvesse grandes oscilações no preço das ações e sem que houvesse ganhos para o compromitente."
19957-009351-2017-61,Não,ESJ,2017,2010,Sim,Sim,,Não,Não,"2, 7, 9",
IA-2008-03,Não,ESJ,2008,2000,Não,Não,,Sim,Sim,5,
IA-1999-17,Não,ESJ,1999,1990,Sim,Sim,,Não,Não,"2, 7, 9",
RJ-2005-09152,Não,ESJ,2005,2000,Não,Não,,Não,Não,"2, 3",
RJ-2008-08046,Não,ESJ,2008,2000,Sim,Sim,,Sim,Não,11,
19957-008545-2019-10,Não,PCTC,2019,2010,,,Sim,Sim,Não,4,
RJ-2011-07940,Não,PCTC,2011,2010,,,Sim,Não,Não,8,"Infração administrativa, mas que não afetou minoritários"
19957-005425-2021-77,Não,PCTC,2021,2020,,,Sim,Sim,Sim,1,"Não divulgação de fato relevante em que o diretor da companhia não obteve benefícios, mas os acionistas podem estar prejudicados pela falta de informações"
19957-002482-2021-69,Não,ESJ,2021,2020,Sim,Sim,,Não,Não,"2, 5",Auditor não registrado na CVM.
19957-001392-2020-13,Não,PCTC,2020,2020,,,Sim,Sim,Sim,1,"Divulgação errônea de fato relevante em que o diretor da companhia não obteve benefícios, mas os acionistas podem estar prejudicados pela falta de informações"
19957-002237-2020-14,Não,PCTC,2020,2020,,,Sim,Não,Não,"2, 4",
RJ-2001-08023,Não,ESJ,2001,2000,Sim,Sim,,Sim,Não,"2, 5",É uma SA de capital fechado
19957-001002-2021-88,Não,PCTC,2021,2020,,,Sim,Sim,Sim,1,"Não divulgação de fato relevante em que o diretor da companhia não obteve benefícios, mas os acionistas podem estar prejudicados pela falta de informações"
19957-012142-2023-43,Não,PCTC,2023,2020,,,Sim,Sim,Não,4,"Investigação de insider trading, mas o compromitente perdeu ao invés de ganhar – negociação em período vedado"
RJ-2004-01844,Não,ESJ,2004,2000,Não,Não,,Não,Não,12,
19957-004852-2019-13,Não,ESJ,2019,2010,Sim,Sim,,Não,Não,"9, 11",
